week,state,total_sequences,alpha_pct,beta_pct,gamma_pct,delta_pct,omicron_pct,other_pct
2021-07-12,New Mexico,549,0.023679417122040074,0.0036429872495446266,0.01639344262295082,0.9089253187613844,0,0.047358834244080175
2021-07-26,New Mexico,857,0.005834305717619603,0,0.010501750291715286,0.9743290548424738,0,0.00933488914819137
2021-08-09,New Mexico,1257,0.002386634844868735,0,7.955449482895784e-4,0.9952267303102625,0,0.0015910898965790952
2021-08-23,New Mexico,1195,0,0,0,0.999163179916318,0,8.368200836820217e-4
2021-09-06,New Mexico,1040,0,0,0,1,0,0
2021-09-20,New Mexico,1292,0,0,0,0.9992260061919505,0,7.739938080495445e-4
2021-10-04,New Mexico,1174,0,0,0,0.9991482112436116,0,8.517887563883608e-4
2021-10-18,New Mexico,1508,0,0,0,0.9993368700265252,0,6.631299734748408e-4
2021-11-01,New Mexico,1841,0,0,0,0.9907658881042911,0,0.009234111895708885
2021-11-15,New Mexico,1672,0,0,0,0.9946172248803827,0,0.005382775119617267
2021-11-29,New Mexico,1973,0,0,0,0.9969589457678661,0.0020273694880892043,0.001013684744044651
2021-12-13,New Mexico,1041,0,0,0,0.851104707012488,0.14697406340057637,0.0019212295869356633
2021-12-27,New Mexico,1541,0,0,0,0.24140168721609345,0.7579493835171967,6.489292667098967e-4
2022-01-10,New Mexico,1976,0,0,0,0.03340080971659919,0.9665991902834008,0
2022-01-24,New Mexico,1387,0,0,0,0.007209805335255948,0.992790194664744,0
2022-02-07,New Mexico,1028,0,0,0,9.727626459143969e-4,0.9990272373540856,0
2022-02-21,New Mexico,360,0,0,0,0.005555555555555556,0.9944444444444445,0
2022-03-07,New Mexico,69,0,0,0,0,1,0
2020-04-27,West Virginia,5,0,0,0,0,0,1
2020-05-11,West Virginia,1,0,0,0,0,0,1
2020-07-06,West Virginia,1,0,0,0,0,0,1
2020-10-12,West Virginia,1,0,0,0,0,0,1
2020-11-09,West Virginia,22,0,0,0,0,0,1
2020-11-23,West Virginia,24,0,0,0,0,0,1
2020-12-07,West Virginia,27,0,0,0,0,0,1
2020-12-21,West Virginia,534,0,0,0,0,0,1
2021-01-11,West Virginia,330,0.006060606060606061,0,0,0,0,0.9939393939393939
2021-01-25,West Virginia,177,0.005649717514124294,0,0,0,0,0.9943502824858758
2021-02-08,West Virginia,206,0.014563106796116505,0,0,0,0,0.9854368932038835
2021-02-22,West Virginia,244,0.0860655737704918,0,0,0,0,0.9139344262295082
